case_width    case_thickness    strap_length    strap_width    type
40            10                200             20             Analog
38            8                 195             18             Digital
42            12                205             22             Smartwatch
36            9                 190             16             Analog
44            11                210             24             Smartwatch
39            10                198             19             Analog
41            11                203             21             Smartwatch
37            9                 192             17             Analog
43            12                207             23             Smartwatch
38            10                195             18             Analog
40            11                200             20             Smartwatch
35            8                 188             15             Analog
45            13                215             25             Smartwatch
36            9                 190             16             Analog
42            10                205             22             Smartwatch
39            11                198             19             Analog
43            12                207             23             Smartwatch
37            8                 192             17             Analog
41            11                203             21             Smartwatch
38            9                 195             18             Analog
44            13                210             24             Smartwatch
40            10                200             20             Analog
39            11                198             19             Analog
42            12                205             22             Smartwatch
38            9                 195             18             Analog
43            12                207             23             Smartwatch
37            10                192             17             Analog
44            13                210             24             Smartwatch
39            10                198             19             Analog
45            14                215             25             Smartwatch
